demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_wieight
11001,657.9,I70S1C3J1V2,10,20,40,20,10,10,0
11003,641.02,I70S1C68J1V2,10,20,15,30,25,0,0
11004,601.1,I70S1C70J1V1,10,20,20,25,25,0,0
11005,622.25,I70S1C23J1V1,10,30,25,25,10,10,0
11011,625.65,I70S1C931J1V1,10,20,10,35,25,0,0
11016,603.85,I70S1C74J1V1,10,20,10,35,25,0,0
11017,646.15,I70S1C73J1V2,10,20,20,25,25,0,0
11020,600,I70S1C47J1V1,10,35,25,10,20,20,0
11021,604.95,I70S1C45J1V1,10,35,25,10,20,20,0
11022,638.1,I70S1C157J1V1,10,20,35,20,0,15,0
11024,632.7,I70S1C63J1V1,10,35,25,10,20,20,0
11026,653.8,I70S1C814J1V1,10,20,50,10,10,10,0
11027,651.1,I70S1C816J1V1,10,20,50,10,10,10,0
11028,606.2,I70S1C442J1V1,10,20,30,10,0,30,0
11029,669.5,I70S1C5J1V1,20,20,25,10,0,25,0
11030,701.5,I70S1C6J1V1,10,20,30,10,0,30,0
11031,600.2,I70S1C61J1V1,10,20,30,10,0,30,0
11032,643.85,I70S1C76J1V1,20,20,25,10,0,25,0
11033,699.3,I70S1C77J1V1,20,20,40,10,0,10,0
11034,632.1,I70S1C78J1V1,10,20,50,10,0,10,0
11035,605.5,I70S1C175J1V1,10,20,30,10,0,30,0
11036,606.7,I70S1C79J1V1,20,20,30,10,0,20,0
11037,669,I70S1C177J1V1,10,20,30,10,0,30,0
11038,600,I70S1C176J1V1,20,20,30,10,0,20,0
11039,740.15,I70S1C62J1V1,20,20,25,10,0,25,0
11040,625.1,I70S1C1J1V2,10,30,20,20,20,0,0
11042,698.3,I70S1C58J1V1,10,20,50,10,10,10,0
11045,718.9,I70S1C64J1V4,10,20,45,10,0,15,0
11055,704.35,I70S1C21J1V1,20,20,10,25,25,0,0
11060,668.8,I70S1C2J1V1,20,20,15,20,25,0,0
11061,600.9,I70S1C81J1V1,10,20,15,30,25,0,0
11062,603.7,I70S1C43J1V1,10,30,20,20,20,20,0
11063,609.55,I70S1C82J1V1,10,20,15,20,35,0,0
11065,601.4,I70S1C84J1V1,10,20,15,30,25,0,0
11068,660.75,I70S1C162J1V1,10,30,15,30,15,0,0
11069,731.15,I70S1C174J1V1,10,30,20,25,15,15,0
11070,647.3,I70S1C178J1V1,20,20,20,25,15,0,0
11072,600.3,I70S1C83J1V1,10,20,15,35,20,0,0
11078,659.95,I70S1C184J1V1,20,20,25,25,10,10,0
11080,691.5,I70S1C41J1V1,10,20,30,10,0,30,0
11081,600.2,I70S1C42J1V1,10,20,30,10,0,30,0
11082,667.5,I70S1C66J1V1,10,20,30,10,0,30,0
11083,780,I70S1C158J1V1,10,20,30,10,0,30,0
11084,646.2,I70S1C159J1V1,10,20,30,10,0,30,0
11085,693.8,I70S1C160J1V1,10,20,30,10,0,30,0
11086,700.6,I70S1C180J1V1,10,20,30,10,0,30,0
11087,631.3,I70S1C181J1V1,10,20,30,10,0,30,0
11090,674.4,I70S1C455J1V1,10,30,15,30,15,15,0
11095,701.55,I70S1C161J1V1,10,20,20,15,0,35,0
11508,660.4,I70S1C67J1V1,10,30,10,30,20,0,0
11520,612.5,I70S1C864J1V1,20,20,20,25,15,15,0
11521,604.3,I70S1C863J1V1,20,20,25,10,0,25,0
